Thai,Chinese_Pinyin,TTS_Key
สวัสดี,你好 nǐ hǎo,zh_cn_0001
สบายดีไหม,你好吗 nǐ hǎo ma,zh_cn_0002
สวัสดีตอนเช้า,早上好 zǎo shang hǎo,zh_cn_0003
สวัสดีตอนบ่าย,下午好 xià wǔ hǎo,zh_cn_0004
สวัสดีตอนเย็น,晚上好 wǎn shang hǎo,zh_cn_0005
ราตรีสวัสดิ์,晚安 wǎn ān,zh_cn_0006
ลาก่อน,再见 zài jiàn,zh_cn_0007
พรุ่งนี้เจอกัน,明天见 míng tiān jiàn,zh_cn_0008
เจอกันใหม่,下次见 xià cì jiàn,zh_cn_0009
ยินดีที่ได้รู้จัก,很高兴认识你 hěn gāo xìng rèn shi nǐ,zh_cn_0010

ขอบคุณ,谢谢 xiè xie,zh_cn_0011
ขอบคุณมาก,非常感谢 fēi cháng gǎn xiè,zh_cn_0012
ไม่เป็นไร,不客气 bú kè qi,zh_cn_0013
ขอโทษ,对不起 duì bù qǐ,zh_cn_0014
ไม่เป็นไร / ช่างมันเถอะ,没关系 méi guān xi,zh_cn_0015
เชิญ / กรุณา,请 qǐng,zh_cn_0016
ได้ไหม,可以吗 kě yǐ ma,zh_cn_0017
ได้,可以 kě yǐ,zh_cn_0018
ไม่ได้,不可以 bù kě yǐ,zh_cn_0019
โอเค,好的 hǎo de,zh_cn_0020

ใช่,是的 shì de,zh_cn_0021
ไม่ใช่,不是 bú shì,zh_cn_0022
อาจจะ,可能 kě néng,zh_cn_0023
แน่นอน,当然 dāng rán,zh_cn_0024
ไม่มีปัญหา,没问题 méi wèn tí,zh_cn_0025
ช่วยด้วย,帮帮我 bāng bāng wǒ,zh_cn_0026
ช่วยฉันหน่อย,请帮我一下 qǐng bāng wǒ yí xià,zh_cn_0027
รอสักครู่,等一下 děng yí xià,zh_cn_0028
เร็วหน่อย,快一点 kuài yì diǎn,zh_cn_0029
ช้าๆหน่อย,慢一点 màn yì diǎn,zh_cn_0030

ฉันไม่เข้าใจ,我不懂 wǒ bù dǒng,zh_cn_0031
ฉันเข้าใจแล้ว,我懂了 wǒ dǒng le,zh_cn_0032
พูดอีกครั้งได้ไหม,请再说一遍 qǐng zài shuō yí biàn,zh_cn_0033
พูดช้าๆหน่อย,请说慢一点 qǐng shuō màn yì diǎn,zh_cn_0034
คุณพูดภาษาอังกฤษได้ไหม,你会说英语吗 nǐ huì shuō yīng yǔ ma,zh_cn_0035
คุณพูดภาษาไทยได้ไหม,你会说泰语吗 nǐ huì shuō tài yǔ ma,zh_cn_0036
ฉันพูดภาษาจีนไม่ได้,我不会说中文 wǒ bú huì shuō zhōng wén,zh_cn_0037
ฉันพูดได้นิดหน่อย,我会一点儿 wǒ huì yì diǎn er,zh_cn_0038
นี่คืออะไร,这是什么 zhè shì shén me,zh_cn_0039
นั่นคืออะไร,那是什么 nà shì shén me,zh_cn_0040

คุณชื่ออะไร,你叫什么名字 nǐ jiào shén me míng zì,zh_cn_0041
ฉันชื่อ...,我叫…… wǒ jiào,zh_cn_0042
คุณมาจากไหน,你从哪里来 nǐ cóng nǎ lǐ lái,zh_cn_0043
ฉันมาจากประเทศไทย,我来自泰国 wǒ lái zì tài guó,zh_cn_0044
คุณอายุเท่าไหร่,你多大了 nǐ duō dà le,zh_cn_0045
วันนี้,今天 jīn tiān,zh_cn_0046
พรุ่งนี้,明天 míng tiān,zh_cn_0047
เมื่อวาน,昨天 zuó tiān,zh_cn_0048
ตอนนี้,现在 xiàn zài,zh_cn_0049
ตอนนี้กี่โมง,现在几点 xiàn zài jǐ diǎn,zh_cn_0050

อันนี้,这个 zhè ge,zh_cn_0051
อันนั้น,那个 nà ge,zh_cn_0052
ที่นี่,这里 zhè lǐ,zh_cn_0053
ที่นั่น,那里 nà lǐ,zh_cn_0054
อยู่ที่ไหน,在哪里 zài nǎ lǐ,zh_cn_0055
ฉันอยากไป...,我要去…… wǒ yào qù,zh_cn_0056
ไปทางไหน,怎么走 zěn me zǒu,zh_cn_0057
เดินตรงไป,一直走 yì zhí zǒu,zh_cn_0058
เลี้ยวซ้าย,左转 zuǒ zhuǎn,zh_cn_0059
เลี้ยวขวา,右转 yòu zhuǎn,zh_cn_0060

กลับรถ / ยูเทิร์น,掉头 diào tóu,zh_cn_0061
ถอยหลัง,往后退 wǎng hòu tuì,zh_cn_0062
หยุดตรงนี้,停这里 tíng zhè lǐ,zh_cn_0063
ถึงแล้ว,到了 dào le,zh_cn_0064
เรียกแท็กซี่ให้หน่อย,请帮我叫出租车 qǐng bāng wǒ jiào chū zū chē,zh_cn_0065
ไปที่นี่,去这里 qù zhè lǐ,zh_cn_0066
ราคาเท่าไหร่,多少钱 duō shǎo qián,zh_cn_0067
แพงไป,太贵了 tài guì le,zh_cn_0068
ลดหน่อยได้ไหม,便宜一点可以吗 pián yi yì diǎn kě yǐ ma,zh_cn_0069
ฉันจะเอาอันนี้,我要这个 wǒ yào zhè ge,zh_cn_0070

ฉันไม่เอา,我不要 wǒ bú yào,zh_cn_0071
จ่ายเงินสด,我用现金 wǒ yòng xiàn jīn,zh_cn_0072
รูดบัตรได้ไหม,可以刷卡吗 kě yǐ shuā kǎ ma,zh_cn_0073
ฉันหิว,我饿了 wǒ è le,zh_cn_0074
ฉันอิ่มแล้ว,我饱了 wǒ bǎo le,zh_cn_0075
ฉันกระหายน้ำ,我渴了 wǒ kě le,zh_cn_0076
ขอเมนูหน่อย,请给我菜单 qǐng gěi wǒ cài dān,zh_cn_0077
ฉันอยากสั่งอาหาร,我想点菜 wǒ xiǎng diǎn cài,zh_cn_0078
อร่อยมาก,很好吃 hěn hǎo chī,zh_cn_0079
ไม่อร่อย,不好吃 bù hǎo chī,zh_cn_0080

ไม่เผ็ด,不要辣 bú yào là,zh_cn_0081
เผ็ดน้อย,少辣 shǎo là,zh_cn_0082
เผ็ดมาก,多辣 duō là,zh_cn_0083
รสเค็มไป,太咸了 tài xián le,zh_cn_0084
รสหวานไป,太甜了 tài tián le,zh_cn_0085
เปรี้ยวหน่อย,有点酸 yǒu diǎn suān,zh_cn_0086
คิดเงินด้วย,买单 mǎi dān,zh_cn_0087
ห่อกลับบ้านได้ไหม,可以打包吗 kě yǐ dǎ bāo ma,zh_cn_0088
ห้องน้ำอยู่ไหน,洗手间在哪里 xǐ shǒu jiān zài nǎ lǐ,zh_cn_0089
ฉันหลงทาง,我迷路了 wǒ mí lù le,zh_cn_0090

ฉันเหนื่อย,我累了 wǒ lèi le,zh_cn_0091
ฉันมีความสุข,我很开心 wǒ hěn kāi xīn,zh_cn_0092
ฉันไม่สบาย,我不舒服 wǒ bù shū fu,zh_cn_0093
ฉันปวดหัว,我头疼 wǒ tóu téng,zh_cn_0094
ฉันปวดท้อง,我肚子疼 wǒ dù zi téng,zh_cn_0095
ฉันท้องเสีย,我拉肚子 wǒ lā dù zi,zh_cn_0096
ฉันเป็นไข้,我发烧了 wǒ fā shāo le,zh_cn_0097
ฉันเป็นหวัด,我感冒了 wǒ gǎn mào le,zh_cn_0098
ช่วยเรียกหมอให้หน่อย,请帮我叫医生 qǐng bāng wǒ jiào yī shēng,zh_cn_0099
ฉันรักคุณ,我爱你 wǒ ài nǐ,zh_cn_0100
